product_id,link_x,title_x,tag_x,audience_men,audience_women,audience_kids,link_y,title_y,tag_y,price,colors,page,color,img
VN000EACEME,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACEME,Classic Slip On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",True,False,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACEME,Classic Slip On Checkerboard Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,15 colors,1,Emerald Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758681787/VN000EACEME-HERO/Classic-Slip-On-Checkerboard-Shoe.png"
VN000E9TEME,/en-us/p/shoes/icons/old-skool-5205/old-skool-shoe-VN000E9TEME,Old Skool Shoe,Old Skool Shoe,True,False,False,/en-us/p/shoes/icons/old-skool-5205/old-skool-shoe-VN000E9TEME,Old Skool Shoe,Old Skool Shoe,$70.00,15+ colors,1,Emerald Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759542686/VN000E9TEME-HERO/Old-Skool-Shoe.png"
VN000V284MG,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-gore-tex-insulated-shoe-VN000V284MG,Sk8-Hi GORE-TEX Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-gore-tex-insulated-shoe-VN000V284MG,Sk8-Hi GORE-TEX Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$180.00,4 colors,1,Incense Brown,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1752018943/VN000V284MG-HERO/Sk8Hi-GORETEX-Insulated-Shoe.png"
VN000BVZ0E0,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000BVZ0E0,Classic Slip-On Shoe,"Lifestyle, Original Icon, Fleece-Lined, Easy-On",True,False,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000BVZ0E0,Classic Slip-On Shoe,"Lifestyle, Original Icon, Fleece-Lined, Easy-On",$65.00,3 colors,1,Brown,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761688569/VN000BVZ0E0-HERO/Classic-SlipOn-Shoe.png"
VN000EYEBLK,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EYEBLK,Classic Slip-On Shoe,"Lifestyle, Original Icon, Easy-On",True,True,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EYEBLK,Classic Slip-On Shoe,"Lifestyle, Original Icon, Easy-On",$55.00,10 colors,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1740196690/VN000EYEBLK-HERO/Classic-SlipOn-Shoe.png"
VN000CTGREB,/en-us/p/shoes/icons/old-skool-5205/toddler-old-skool-v-shoe-VN000CTGREB,Toddler Old Skool V Shoe,"Lifestyle, Original Icon, Easy-On, 9 Month - 4 Year Olds",False,False,True,/en-us/p/shoes/icons/old-skool-5205/toddler-old-skool-v-shoe-VN000CTGREB,Toddler Old Skool V Shoe,"Lifestyle, Original Icon, Easy-On, 9 Month - 4 Year Olds",$45.00,12 colors,1,Glitter Plaid Red / Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758118034/VN000CTGREB-HERO/Toddler-Old-Skool-V-Shoe.png"
VN000CYVY25,/en-us/p/shoes/icons/old-skool-5205/little-kids-old-skool-shoe-VN000CYVY25,Little Kids Old Skool Shoe,"Lifestyle, Original Icon, 4 - 8 Year Olds",False,False,True,/en-us/p/shoes/icons/old-skool-5205/little-kids-old-skool-shoe-VN000CYVY25,Little Kids Old Skool Shoe,"Lifestyle, Original Icon, 4 - 8 Year Olds",$45.00,3 colors,1,Glitter Plaid Red / Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758118043/VN000CYVY25-HERO/Little-Kids-Old-Skool-Shoe.png"
VN000EE1EME,/en-us/p/shoes/icons/old-skool-5205/toddler-old-skool-v-shoe-VN000EE1EME,Toddler Old Skool V Shoe,"Lifestyle, Original Icon, Easy-On, 9 Month - 4 Year Olds",False,False,True,/en-us/p/shoes/icons/old-skool-5205/toddler-old-skool-v-shoe-VN000EE1EME,Toddler Old Skool V Shoe,"Lifestyle, Original Icon, Easy-On, 9 Month - 4 Year Olds",$40.00,7 colors,1,Emerald Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1758118305/VN000EE1EME-HERO/Toddler-Old-Skool-V-Shoe.png"
VN000EGAEME,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EGAEME,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",True,False,False,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EGAEME,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",$55.00,15+ colors,1,Emerald Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759840764/VN000EGAEME-HERO/Authentic-Shoe.png"
VN000E8VCCZ,/en-us/p/shoes/icons/old-skool-5205/premium-old-skool-shoe-VN000E8VCCZ,Premium Old Skool 36 Shoe,"Lifestyle, Icon, Pearlized, Suede, Midweight Canvas, Cushioning",True,True,False,/en-us/p/shoes/icons/old-skool-5205/premium-old-skool-shoe-VN000E8VCCZ,Premium Old Skool 36 Shoe,"Lifestyle, Icon, Pearlized, Suede, Midweight Canvas, Cushioning",$130.00,2 colors,1,Marshmallow White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1759272730/VN000E8VCCZ-HERO/Premium-Old-Skool-36-Shoe.png"
